rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_3d,rainfall_7d,max_rainfall_intensity,antecedent_rainfall_index,temperature,humidity,wind_speed,elevation,slope,aspect,plan_curvature,profile_curvature,soil_moisture,vegetation_density,soil_type_code,land_cover_code,geology_strength,previous_landslides,landslide,true_probability
17.55,40.8,68.6,85.08,109.18,145.1,231.39,23.06,132.34,6.3,89.6,13.0,1604.3,9.88,340.7,-0.0006,0.0799,0.95,0.715,4,3,2,2,1,1.0
1.1,3.01,4.65,7.68,11.36,14.9,24.16,1.65,13.74,22.2,49.5,17.5,3995.5,24.52,25.8,0.0702,-0.085,0.389,0.391,2,4,1,1,0,0.4133
0.2,0.49,0.66,0.74,0.98,1.6,2.79,0.25,1.44,18.4,75.4,2.2,3087.8,11.74,175.0,0.0954,0.0238,0.366,0.593,3,6,4,0,0,0.0051
2.86,7.54,10.21,13.15,15.84,22.0,34.22,3.96,19.6,15.0,68.9,16.8,2534.4,19.37,215.0,0.013,-0.0639,0.332,0.802,4,4,2,1,0,0.1066
0.57,1.4,2.69,3.44,4.06,4.91,6.32,0.78,4.23,15.2,58.2,3.2,697.5,25.1,89.2,-0.133,-0.0255,0.305,0.669,0,0,5,0,0,0.0088
0.35,0.99,1.93,3.27,4.95,7.4,13.57,0.44,6.97,21.6,63.4,18.8,697.4,24.8,277.7,0.0149,0.0103,0.344,0.321,2,0,4,0,0,0.0374
22.25,54.79,114.6,170.0,192.68,290.09,484.74,26.96,261.15,18.7,90.5,6.6,291.0,41.79,225.7,0.0467,0.0128,0.95,0.813,8,6,2,0,1,1.0
9.83,23.09,34.88,48.46,56.25,76.73,103.93,13.16,64.85,12.1,93.6,12.2,3644.6,16.12,6.5,0.0112,0.0115,0.631,0.749,7,4,3,0,1,0.8993
0.33,0.64,1.05,1.34,2.03,3.46,6.81,0.43,3.28,24.0,42.0,8.2,2544.6,11.16,219.0,0.0363,0.0076,0.34,0.4,4,4,2,0,0,0.0174
1.01,1.85,2.47,3.28,4.71,11.52,21.27,1.26,9.84,13.4,53.7,8.5,2988.5,20.06,176.9,0.0179,-0.0321,0.431,0.46,0,3,1,2,0,0.2554
